date,AAPL,AMZN,ASML,DXCM,INTC,MSFT,NVDA,NFLX,PEP,SGEN
2009/2/27,2.723419106,3.2395,22.54981516,1.0125,8.471569832,12.19192117,1.900883571,5.177142754,32.32600484,8.03
2009/3/2,2.681642327,3.0995,21.28297032,0.9,8.185637726,11.92015079,1.740180854,4.907142759,31.45976997,7.51
2009/3/3,2.694754747,3.085,21.32761229,0.9375,8.165688975,11.98809339,1.809053447,5.19428561,32.5475998,7.64
2009/3/4,2.780137946,3.2405,23.26511943,0.9775,8.484869,12.16927364,1.942207127,5.387142749,32.24613904,7.98
2009/3/5,2.709086926,3.2385,21.86411918,0.8175,8.185637726,11.52759358,1.896292065,5.414285606,31.14191201,7.48
2009/3/6,2.601138168,3.0845,21.80455831,0.8275,8.252133565,11.53514276,1.926136855,5.454285605,31.90741909,7.23
2009/3/9,2.534356309,3.0245,21.3574501,0.865,8.345227739,11.43700345,1.905475077,5.49999989,31.03352162,7.41
2009/3/10,2.702683186,3.2855,23.44403157,0.9575,9.256220727,12.44104402,2.07765656,5.49999989,31.56869914,8.03
2009/3/11,2.826183885,3.427,24.3680858,0.9375,9.282819062,12.91664218,2.135050388,5.355714179,32.12419986,7.68
2009/3/12,2.938096864,3.479,24.39780886,1.025,9.655195758,12.84115041,2.261316809,5.708571314,32.71357257,8.82
2009/3/13,2.925289384,3.4315,24.87475488,1.0225,9.774888268,12.56938003,2.249838043,5.624285602,32.93712773,8.97
2009/3/16,2.909737444,3.349,24.68103859,1.0075,9.475656994,12.26741295,2.162599425,5.522857032,33.01164612,8.79
2009/3/17,3.039032002,3.5675,25.63493064,1.025,9.907879945,12.75810946,2.270499821,5.827142741,33.36391487,9.18
2009/3/18,3.095750842,3.5625,26.57378902,1.0575,10.1339658,12.80340453,2.341668167,5.945714167,33.51295164,9.65
2009/3/19,3.098800242,3.505,26.51422814,1.075,10.07411954,12.93928972,2.31411913,5.929999881,33.18778049,9.71
2009/3/20,3.097885422,3.498,25.18782243,1.04,9.741640348,12.8788963,2.187852709,5.949999881,33.88554359,9.61
2009/3/23,3.282983999,3.779,26.75270115,1.1625,10.32015414,13.8376418,2.346259674,6.199999876,34.97622182,10.09
2009/3/24,3.24761096,3.6405,25.50077523,1.105,9.974375783,13.53567471,2.245246537,6.202857019,34.90847783,9.86
2009/3/25,3.24730602,3.62,25.99264016,1.1,9.93447828,13.49792883,2.281978587,5.937142738,35.54527133,9.88
2009/3/26,3.350375738,3.6845,27.14024849,1.16,10.51964166,14.21510066,2.424315279,5.964285595,36.01270486,10.22
2009/3/27,3.25828386,3.526,25.99264016,1.065,10.25365831,13.68665826,2.401357748,5.668571315,35.49107614,9.89
2009/3/30,3.186318021,3.572,25.70194997,1.0075,9.788187435,13.19596174,2.24754229,6.004285594,35.0846122,9.88
2009/3/31,3.20552924,3.672,26.36453271,1.035,9.994324535,13.86783851,2.263612562,6.131428449,34.87460583,9.86
2009/4/1,3.314392819,3.675,26.75593768,1.1,9.994324535,14.57746117,2.321006389,6.124285592,35.37591136,9.38
2009/4/2,3.436978697,3.817,27.70453821,1.1075,10.43984665,14.56236281,2.428906785,6.161428448,35.80947289,9.59
2009/4/3,3.536999016,3.9085,28.57789531,1.15,10.60608625,14.15470724,2.598792515,6.15285702,35.69430811,9.27
2009/4/6,3.612014255,3.8995,28.62299499,1.14,10.54624,14.16225642,2.605679775,6.35714273,35.68075931,9.16
2009/4/7,3.506809957,3.7755,27.16253045,1.15,10.27360706,14.16225642,2.516145403,6.242857018,35.39623455,8.83
